Image URL,Dominant Color
https://images.metmuseum.org/CRDImages/ep/web-large/DP-25977-001.jpg,#1f1913
https://images.metmuseum.org/CRDImages/ep/web-large/DP-26501-001.jpg,#231710
https://images.metmuseum.org/CRDImages/es/web-large/DP-606-001.jpg,#999795
https://images.metmuseum.org/CRDImages/es/web-large/DP229778.jpg,#dbdbda
https://images.metmuseum.org/CRDImages/ep/web-large/DP-19629-001.jpg,#8b5f2f
https://images.metmuseum.org/CRDImages/es/web-large/DP221743.jpg,#dbdce0
https://images.metmuseum.org/CRDImages/ep/web-large/DP-26972-001.jpg,#1f1610
https://images.metmuseum.org/CRDImages/ep/web-large/DT7241.jpg,#2a1b13
https://images.metmuseum.org/CRDImages/ep/web-large/DP375107.jpg,#28170f
https://images.metmuseum.org/CRDImages/ep/web-large/DP119115.jpg,#845f30
https://images.metmuseum.org/CRDImages/ep/web-large/DP280358.jpg,#2a231a
https://images.metmuseum.org/CRDImages/rl/web-large/DP210443.jpg,#765d45
https://images.metmuseum.org/CRDImages/ep/web-large/DP-25890-001.jpg,#291f19
https://images.metmuseum.org/CRDImages/ep/web-large/DP239507.jpg,#31281d
https://images.metmuseum.org/CRDImages/ep/web-large/DP164865.jpg,#1b1b0d
https://images.metmuseum.org/CRDImages/is/web-large/DP107119.jpg,#bcab86
https://images.metmuseum.org/CRDImages/dp/web-large/DP826907.jpg,#cda985
https://images.metmuseum.org/CRDImages/ep/web-large/DT-19374-001.jpg,#111a23
https://images.metmuseum.org/CRDImages/is/web-large/DP107166.jpg,#e8e0c6
https://images.metmuseum.org/CRDImages/ep/web-large/DP-24468-001.jpg,#271b11
https://images.metmuseum.org/CRDImages/es/web-large/DP-462-001.jpg,#a5a2a0
https://images.metmuseum.org/CRDImages/es/web-large/DP-607-001.jpg,#a09e9a
https://images.metmuseum.org/CRDImages/ep/web-large/DP136254.jpg,#281d16
https://images.metmuseum.org/CRDImages/is/web-large/DP107689.jpg,#e7d8bb
https://images.metmuseum.org/CRDImages/ep/web-large/DP280784.jpg,#2a231e
https://images.metmuseum.org/CRDImages/is/web-large/DP238053.jpg,#c4ac8c
https://images.metmuseum.org/CRDImages/ep/web-large/DT7692.jpg,#635d48
https://images.metmuseum.org/CRDImages/ep/web-large/DP105662.jpg,#1a1707
https://images.metmuseum.org/CRDImages/ep/web-large/DP167124.jpg,#271e10
https://images.metmuseum.org/CRDImages/es/web-large/ES1773.jpg,#635f49
https://images.metmuseum.org/CRDImages/ep/web-large/DT2910.jpg,#24190c
https://images.metmuseum.org/CRDImages/ep/web-large/DP-26502-001.jpg,#1b120b
