Century,Hue Segment,Saturation Segment,Lightness Segment,Percentage
15th Century,5,3,0,0.7547169811320755
15th Century,5,0,2,1.1320754716981132
15th Century,5,0,1,0.7547169811320755
15th Century,5,0,0,2.6415094339622645
15th Century,4,3,0,0.3773584905660377
15th Century,3,4,0,0.3773584905660377
15th Century,3,3,0,0.7547169811320755
15th Century,3,2,1,0.3773584905660377
15th Century,3,1,1,1.509433962264151
15th Century,3,1,0,0.7547169811320755
15th Century,3,0,4,0.7547169811320755
15th Century,3,0,3,0.7547169811320755
15th Century,3,0,2,0.7547169811320755
15th Century,3,0,1,2.6415094339622645
15th Century,3,0,0,3.018867924528302
15th Century,2,4,1,0.3773584905660377
15th Century,2,2,0,0.3773584905660377
15th Century,2,1,0,2.6415094339622645
15th Century,2,0,1,2.2641509433962264
15th Century,2,0,0,1.8867924528301887
15th Century,1,0,0,0.3773584905660377
15th Century,0,4,2,2.2641509433962264
15th Century,0,4,1,1.509433962264151
15th Century,0,4,0,0.3773584905660377
15th Century,0,3,3,0.3773584905660377
15th Century,0,3,2,1.1320754716981132
15th Century,0,3,1,5.283018867924529
15th Century,0,3,0,1.509433962264151
15th Century,0,2,2,2.6415094339622645
15th Century,0,2,1,11.69811320754717
15th Century,0,2,0,3.39622641509434
15th Century,0,1,4,0.3773584905660377
15th Century,0,1,3,1.8867924528301887
15th Century,0,1,2,8.679245283018867
15th Century,0,1,1,12.830188679245284
15th Century,0,1,0,1.8867924528301887
15th Century,0,0,4,0.3773584905660377
15th Century,0,0,3,1.8867924528301887
15th Century,0,0,2,5.660377358490567
15th Century,0,0,1,8.30188679245283
15th Century,0,0,0,2.6415094339622645
16th Century,5,3,0,0.5830903790087464
16th Century,5,2,0,0.8746355685131195
16th Century,5,0,3,0.2915451895043732
16th Century,5,0,2,1.1661807580174928
16th Century,5,0,1,2.3323615160349855
16th Century,5,0,0,0.5830903790087464
16th Century,4,2,0,0.5830903790087464
16th Century,3,4,0,0.8746355685131195
16th Century,3,3,1,0.2915451895043732
16th Century,3,3,0,0.8746355685131195
16th Century,3,1,2,0.2915451895043732
16th Century,3,1,1,0.8746355685131195
16th Century,3,1,0,0.5830903790087464
16th Century,3,0,4,0.2915451895043732
16th Century,3,0,3,0.5830903790087464
16th Century,3,0,2,0.5830903790087464
16th Century,3,0,1,2.3323615160349855
16th Century,3,0,0,1.1661807580174928
16th Century,2,4,0,0.2915451895043732
16th Century,2,2,0,0.8746355685131195
16th Century,2,1,1,0.2915451895043732
16th Century,2,1,0,1.1661807580174928
16th Century,2,0,2,0.2915451895043732
16th Century,2,0,1,1.4577259475218658
16th Century,2,0,0,3.206997084548105
16th Century,1,4,0,1.1661807580174928
16th Century,1,3,0,2.623906705539359
16th Century,1,1,0,0.2915451895043732
16th Century,1,0,4,0.2915451895043732
16th Century,1,0,3,0.2915451895043732
16th Century,1,0,1,0.2915451895043732
16th Century,1,0,0,0.2915451895043732
16th Century,0,4,2,2.9154518950437316
16th Century,0,4,1,0.8746355685131195
16th Century,0,4,0,2.3323615160349855
16th Century,0,3,3,0.2915451895043732
16th Century,0,3,2,2.0408163265306123
16th Century,0,3,1,6.41399416909621
16th Century,0,3,0,3.498542274052478
16th Century,0,2,2,2.623906705539359
16th Century,0,2,1,6.705539358600583
16th Century,0,2,0,6.997084548104956
16th Century,0,1,4,0.2915451895043732
16th Century,0,1,2,5.247813411078718
16th Century,0,1,1,10.495626822157435
16th Century,0,1,0,5.247813411078718
16th Century,0,0,3,0.2915451895043732
16th Century,0,0,2,3.7900874635568513
16th Century,0,0,1,8.746355685131196
16th Century,0,0,0,3.206997084548105
17th Century,5,1,2,0.3773584905660377
17th Century,5,0,4,0.3773584905660377
17th Century,5,0,1,1.509433962264151
17th Century,5,0,0,1.509433962264151
17th Century,4,2,0,0.3773584905660377
17th Century,4,0,0,0.3773584905660377
17th Century,3,3,0,1.509433962264151
17th Century,3,2,0,1.1320754716981132
17th Century,3,1,1,1.509433962264151
17th Century,3,1,0,0.7547169811320755
17th Century,3,0,3,0.3773584905660377
17th Century,3,0,2,0.7547169811320755
17th Century,3,0,1,1.509433962264151
17th Century,3,0,0,1.509433962264151
17th Century,2,2,0,0.7547169811320755
17th Century,2,1,0,2.2641509433962264
17th Century,2,0,1,0.3773584905660377
17th Century,2,0,0,3.018867924528302
17th Century,1,2,0,1.1320754716981132
17th Century,1,1,0,0.3773584905660377
17th Century,1,0,1,0.7547169811320755
17th Century,1,0,0,1.1320754716981132
17th Century,0,4,2,1.8867924528301887
17th Century,0,4,1,1.1320754716981132
17th Century,0,4,0,0.7547169811320755
17th Century,0,3,4,1.509433962264151
17th Century,0,3,2,0.3773584905660377
17th Century,0,3,1,4.905660377358491
17th Century,0,3,0,3.018867924528302
17th Century,0,2,2,1.509433962264151
17th Century,0,2,1,11.320754716981131
17th Century,0,2,0,4.905660377358491
17th Century,0,1,3,0.7547169811320755
17th Century,0,1,2,4.528301886792453
17th Century,0,1,1,16.22641509433962
17th Century,0,1,0,7.547169811320755
17th Century,0,0,3,0.7547169811320755
17th Century,0,0,2,3.7735849056603774
17th Century,0,0,1,9.433962264150944
17th Century,0,0,0,2.2641509433962264
18th Century,5,1,0,0.4347826086956521
18th Century,5,0,1,0.4347826086956521
18th Century,5,0,0,0.8695652173913043
18th Century,4,4,0,0.8695652173913043
18th Century,4,3,0,0.4347826086956521
18th Century,4,0,0,0.4347826086956521
18th Century,3,3,1,0.4347826086956521
18th Century,3,3,0,0.4347826086956521
18th Century,3,2,0,2.1739130434782608
18th Century,3,1,1,0.4347826086956521
18th Century,3,1,0,0.8695652173913043
18th Century,3,0,2,0.8695652173913043
18th Century,3,0,1,1.7391304347826086
18th Century,3,0,0,0.8695652173913043
18th Century,2,4,0,0.8695652173913043
